month,product,sku,forecast_qty,forecast_revenue,price_per_unit,seasonal_factor,confidence_upper,confidence_lower,model_used
2025-04,Widget A,W-001,5200,260000000,50000,1.05,5460,4940,ARIMA(2,1,2)
2025-04,Widget B,W-002,3300,115500000,35000,1.05,3465,3135,ARIMA(2,1,2)
2025-04,Gadget Pro,W-003,2200,330000000,150000,1.10,2420,1980,Prophet
2025-04,Sensor Kit,W-004,1000,150000000,150000,1.00,1150,850,Prophet
2025-04,Power Module,W-005,2700,67500000,25000,1.02,2835,2565,ETS(AAA)
2025-04,Accessory Kit,AC-001,1400,16800000,12000,1.08,1540,1260,ARIMA(1,1,1)
2025-05,Widget A,W-001,5400,270000000,50000,1.08,5670,5130,ARIMA(2,1,2)
2025-05,Widget B,W-002,3400,119000000,35000,1.08,3570,3230,ARIMA(2,1,2)
2025-05,Gadget Pro,W-003,2400,360000000,150000,1.15,2640,2160,Prophet
2025-05,Sensor Kit,W-004,1100,165000000,150000,1.05,1265,935,Prophet
2025-05,Power Module,W-005,2800,70000000,25000,1.05,2940,2660,ETS(AAA)
2025-05,Accessory Kit,AC-001,1300,15600000,12000,1.00,1430,1170,ARIMA(1,1,1)
2025-06,Widget A,W-001,5600,280000000,50000,1.12,5880,5320,ARIMA(2,1,2)
2025-06,Widget B,W-002,3500,122500000,35000,1.10,3675,3325,ARIMA(2,1,2)
2025-06,Gadget Pro,W-003,2600,390000000,150000,1.18,2860,2340,Prophet
2025-06,Sensor Kit,W-004,1200,180000000,150000,1.10,1380,1020,Prophet
2025-06,Power Module,W-005,3000,75000000,25000,1.10,3150,2850,ETS(AAA)
2025-06,Accessory Kit,AC-001,1500,18000000,12000,1.05,1650,1350,ARIMA(1,1,1)
2025-07,Widget A,W-001,5300,265000000,50000,1.06,5565,5035,ARIMA(2,1,2)
2025-07,Widget B,W-002,3200,112000000,35000,1.04,3360,3040,ARIMA(2,1,2)
2025-07,Gadget Pro,W-003,2300,345000000,150000,1.12,2530,2070,Prophet
2025-07,Sensor Kit,W-004,900,135000000,150000,0.95,1035,765,Prophet
2025-07,Power Module,W-005,2600,65000000,25000,1.00,2730,2470,ETS(AAA)
2025-07,Accessory Kit,AC-001,1200,14400000,12000,0.95,1320,1080,ARIMA(1,1,1)
